equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
753 0.00754586 0.00666637
754 0.00736613 0.00668987
755 0.00727844 0.00679355
756 0.00714831 0.00683246
757 0.00700837 0.00678168
758 0.00689522 0.00672808
759 0.0067283 0.00664739
760 0.0067079 0.00666916
761 0.00663909 0.00662216
762 0.0065602 0.00650178
763 0.00645841 0.00638614
764 0.00656501 0.00639605
765 0.0065676 0.00627379
766 0.00662387 0.00618444
767 0.00658511 0.0061126
768 0.00654057 0.00605113
769 0.00651405 0.00603175
770 0.00632417 0.00588918
771 0.00629945 0.00584319
772 0.0062065 0.0057677
773 0.00609074 0.00577978
774 0.00599326 0.00582364
775 0.00586628 0.00585847
776 0.00569578 0.0057861
777 0.00580304 0.00594479
778 0.00606668 0.00620013
779 0.00640189 0.00646982
780 0.00674103 0.00671824
781 0.00692858 0.00683496
782 0.00705722 0.00695449
783 0.00720337 0.00706024
784 0.0072669 0.00710779
785 0.0071902 0.00704194
786 0.0071643 0.00698705
787 0.00727273 0.00707225
788 0.00748481 0.00726333
789 0.00763003 0.00745077
790 0.00764484 0.00752227
791 0.00754055 0.00744581
792 0.00758063 0.00751483
793 0.00775073 0.00762673
794 0.00781197 0.00769557
795 0.00786873 0.00778196
796 0.00793514 0.00784983
797 0.00799576 0.00791549
798 0.00785944 0.00783926
799 0.00763819 0.00764092
800 0.00734159 0.00734129
801 0.00698033 0.00706857
802 0.00663143 0.00680412
803 0.00615277 0.00642611
804 0.0056968 0.00607286
805 0.0054231 0.00588465
806 0.00514969 0.00572328
807 0.00479249 0.0054682
808 0.00440772 0.00519615
809 0.00394038 0.00488123
810 0.00361888 0.00461407
811 0.00338363 0.00448563
812 0.00298026 0.00420875
813 0.00266648 0.00394725
814 0.00243736 0.00373675
815 0.00200038 0.00337836
816 0.00163987 0.00308261
817 0.00134156 0.00278407
818 0.000963897 0.00245646
819 0.000480908 0.00211703
820 5.33903e-05 0.00187266
821 -0.0005058 0.00150774
822 -0.00113851 0.00103428
823 -0.00172406 0.000600927
824 -0.00205424 0.000296203
825 -0.00262938 -0.00020105
826 -0.00314881 -0.000717024
827 -0.00354618 -0.00113788
828 -0.00394245 -0.00154538
829 -0.00441124 -0.00197517
830 -0.00483377 -0.00237558
831 -0.00527315 -0.00274885
832 -0.00561263 -0.00292978
833 -0.00591565 -0.00306097
834 -0.00623705 -0.00318053
835 -0.0065635 -0.00331361
836 -0.00677264 -0.00332521
837 -0.00711025 -0.00350063
838 -0.00723932 -0.00358122
839 -0.00731495 -0.00358294
